,LOSS,,Score,
scenario,SRC_Only,ATL_NCE,SRC_Only,ATL_NCE
FD001-->FD002,20.62,19.53,5448,2151
FD001-->FD003,55.09,38.26,31062,10076
FD001-->FD004,36.81,33.98,20786,16452
FD002-->FD001,15.29,13.91,543,348
FD002-->FD003,35.46,33.52,5339,5202
FD002-->FD004,37.66,33.92,19807,15020
FD003-->FD001,39.03,20.68,5700,1885
FD003-->FD002,46.11,21.17,72405,15943
FD003-->FD004,31.44,21.79,40772,3911
FD004-->FD001,37.9,33.02,99597,61749
FD004-->FD002,32.98,24.56,62345,37197
FD004-->FD003,19.47,14.65,2470,854
,33.99,25.75,30523,14232
